Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
Egypt,80,K14_rcp85_2050,3.9,4.1,4.4,4.0,4.2,4.6,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.55,1.2,0.27,0.81,1.4,0.40,0.44,0.50,0.41,0.46,0.53
Egypt,80,K14_rcp85_2100,4.2,4.7,5.1,4.3,4.9,5.2,0.01,0.01,0.88,0.01,0.01,1.4,0.74,1.6,2.4,1.00,1.8,2.5,0.46,0.55,1.00,0.48,0.71,1.1
Egypt,80,K17_rcp26_2050,3.9,4.0,4.4,4.0,4.2,4.6,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.43,1.2,0.27,0.69,1.4,0.40,0.43,0.50,0.41,0.45,0.53
Egypt,80,K17_rcp26_2100,3.9,4.4,5.1,4.0,4.5,5.2,0.00,0.01,0.71,0.01,0.01,1.2,0.01,1.00,2.3,0.27,1.3,2.5,0.40,0.49,0.99,0.41,0.52,1.1
Egypt,80,K17_rcp45_2050,3.9,4.1,4.3,4.0,4.2,4.5,0.00,0.01,0.01,0.01,0.01,0.01,0.09,0.52,0.98,0.34,0.78,1.2,0.40,0.43,0.48,0.42,0.46,0.51
Egypt,80,K17_rcp45_2100,4.2,4.8,5.3,4.4,5.0,5.5,0.01,0.01,2.1,0.01,0.03,2.6,0.82,1.8,2.8,1.1,2.1,3.0,0.46,0.70,1.4,0.49,0.87,1.6
Egypt,80,K17_rcp85_2050,3.9,4.1,4.5,4.0,4.2,4.7,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.57,1.3,0.27,0.83,1.5,0.40,0.44,0.52,0.41,0.47,0.55
Egypt,80,K17_rcp85_2100,4.7,5.2,6.7,4.8,5.3,7.1,0.01,1.5,4.5,0.01,2.0,4.7,1.5,2.6,4.1,1.8,2.8,4.4,0.54,1.2,3.5,0.68,1.3,3.8
El Salvador,6.0,Present day,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--
El Salvador,6.0,K14_rcp26_2050,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K14_rcp26_2100,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01
